epoche	train err	probe err	elapsed time
640	0.562440	1.192634	0.277315
641	0.562439	1.192605	0.271500
642	0.562437	1.192576	0.269487
643	0.562435	1.192548	0.268326
644	0.562434	1.192519	0.287712
645	0.562432	1.192490	0.268861
646	0.562431	1.192461	0.268710
647	0.562429	1.192432	0.267387
648	0.562427	1.192404	0.282716
649	0.562426	1.192375	0.268331
650	0.562424	1.192346	0.269247
651	0.562423	1.192318	0.274439
652	0.562421	1.192289	0.270548
653	0.562419	1.192260	0.269095
654	0.562418	1.192232	0.268825
655	0.562416	1.192203	0.289407
656	0.562415	1.192175	0.274341
657	0.562413	1.192146	0.269219
658	0.562412	1.192118	0.268105
659	0.562410	1.192089	0.280823
660	0.562408	1.192061	0.270113
661	0.562407	1.192032	0.267656
662	0.562405	1.192004	0.278037
663	0.562404	1.191976	0.271235
664	0.562402	1.191947	0.269879
665	0.562401	1.191919	0.269470
666	0.562399	1.191891	0.290081
667	0.562398	1.191863	0.269137
668	0.562396	1.191834	0.267694
669	0.562395	1.191806	0.266979
670	0.562393	1.191778	0.278458
671	0.562392	1.191750	0.268385
672	0.562390	1.191722	0.267116
673	0.562389	1.191694	0.274470
674	0.562387	1.191666	0.273219
675	0.562386	1.191637	0.271180
676	0.562384	1.191609	0.270446
677	0.562383	1.191581	0.281602
678	0.562381	1.191554	0.276754
679	0.562380	1.191526	0.270111
680	0.562378	1.191498	0.269841
681	0.562377	1.191470	0.281948
682	0.562375	1.191442	0.275081
683	0.562374	1.191414	0.292903
684	0.562372	1.191386	0.318096
685	0.562371	1.191358	0.289524
686	0.562370	1.191331	0.270826
687	0.562368	1.191303	0.271980
688	0.562367	1.191275	0.289533
689	0.562365	1.191247	0.269647
690	0.562364	1.191220	0.268638
691	0.562362	1.191192	0.281831
692	0.562361	1.191165	0.269039
693	0.562359	1.191137	0.268264
694	0.562358	1.191109	0.268671
695	0.562357	1.191082	0.284494
696	0.562355	1.191054	0.274338
697	0.562354	1.191027	0.268591
698	0.562352	1.190999	0.268552
699	0.562351	1.190972	0.292879
700	0.562350	1.190944	0.270321
701	0.562348	1.190917	0.269181
702	0.562347	1.190890	0.277568
703	0.562345	1.190862	0.268590
704	0.562344	1.190835	0.275240
705	0.562343	1.190808	0.272561
706	0.562341	1.190780	0.280895
707	0.562340	1.190753	0.269506
708	0.562338	1.190726	0.266907
709	0.562337	1.190698	0.267308
710	0.562336	1.190671	0.296364
711	0.562334	1.190644	0.275129
712	0.562333	1.190617	0.268374
713	0.562332	1.190590	0.283974
714	0.562330	1.190563	0.268146
715	0.562329	1.190536	0.272302
716	0.562328	1.190509	0.284679
717	0.562326	1.190481	0.282068
718	0.562325	1.190454	0.281294
719	0.562324	1.190427	0.296245
720	0.562322	1.190401	0.314556
721	0.562321	1.190374	0.267970
722	0.562320	1.190347	0.272780
723	0.562318	1.190320	0.276843
724	0.562317	1.190293	0.279220
725	0.562316	1.190266	0.268571
726	0.562314	1.190239	0.267562
727	0.562313	1.190212	0.268063
728	0.562312	1.190186	0.291920
729	0.562310	1.190159	0.275952
730	0.562309	1.190132	0.267852
731	0.562308	1.190105	0.284993
732	0.562306	1.190079	0.270042
733	0.562305	1.190052	0.270741
734	0.562304	1.190025	0.268615
735	0.562302	1.189999	0.281768
736	0.562301	1.189972	0.270817
737	0.562300	1.189945	0.269476
738	0.562299	1.189919	0.271401
739	0.562297	1.189892	0.278270
740	0.562296	1.189866	0.268839
741	0.562295	1.189839	0.267894
742	0.562294	1.189813	0.286138
743	0.562292	1.189786	0.268222
744	0.562291	1.189760	0.267626
745	0.562290	1.189734	0.267081
746	0.562288	1.189707	0.278106
747	0.562287	1.189681	0.270483
748	0.562286	1.189654	0.270567
749	0.562285	1.189628	0.267423
750	0.562283	1.189602	0.278990
751	0.562282	1.189576	0.269121
752	0.562281	1.189549	0.267259
753	0.562280	1.189523	0.288524
754	0.562278	1.189497	0.269104
755	0.562277	1.189471	0.270876
756	0.562276	1.189444	0.273185
757	0.562275	1.189418	0.283017
758	0.562274	1.189392	0.269077
759	0.562272	1.189366	0.270166
760	0.562271	1.189340	0.271776
761	0.562270	1.189314	0.282333
762	0.562269	1.189288	0.268299
763	0.562267	1.189262	0.267647
764	0.562266	1.189236	0.283410
765	0.562265	1.189210	0.270824
766	0.562264	1.189184	0.268444
767	0.562263	1.189158	0.267356
768	0.562261	1.189132	0.282914
769	0.562260	1.189106	0.269904
770	0.562259	1.189080	0.268826
771	0.562258	1.189054	0.274737
772	0.562257	1.189029	0.271638
773	0.562255	1.189003	0.269929
774	0.562254	1.188977	0.267557
775	0.562253	1.188951	0.283068
776	0.562252	1.188925	0.267875
777	0.562251	1.188900	0.268258
778	0.562250	1.188874	0.268525
779	0.562248	1.188848	0.278044
780	0.562247	1.188823	0.271613
781	0.562246	1.188797	0.266772
782	0.562245	1.188771	0.267146
783	0.562244	1.188746	0.284120
784	0.562243	1.188720	0.267165
785	0.562241	1.188695	0.267049
786	0.562240	1.188669	0.293370
787	0.562239	1.188643	0.268995
788	0.562238	1.188618	0.270818
789	0.562237	1.188592	0.269669
790	0.562236	1.188567	0.281801
791	0.562235	1.188542	0.269126
792	0.562233	1.188516	0.269265
793	0.562232	1.188491	0.267983
794	0.562231	1.188465	0.276796
795	0.562230	1.188440	0.271513
796	0.562229	1.188415	0.268455
797	0.562228	1.188389	0.286582
798	0.562227	1.188364	0.269457
799	0.562226	1.188339	0.267590
800	0.562224	1.188313	0.268236
801	0.562223	1.188288	0.279768
802	0.562222	1.188263	0.269524
803	0.562221	1.188238	0.269248
804	0.562220	1.188213	0.269221
805	0.562219	1.188187	0.282504
806	0.562218	1.188162	0.268822
807	0.562217	1.188137	0.267612
808	0.562216	1.188112	0.290402
809	0.562214	1.188087	0.270288
810	0.562213	1.188062	0.268963
811	0.562212	1.188037	0.269738
812	0.562211	1.188012	0.277134
813	0.562210	1.187987	0.270004
814	0.562209	1.187962	0.270318
815	0.562208	1.187937	0.275529
816	0.562207	1.187912	0.277802
817	0.562206	1.187887	0.268939
